x,y,z,Spindle power/W,Cutting power/W
114,171.405,30.867,120.41016,1.464864
114.08,172.499,30.838,120.41016,1.464864
114.08,172.499,30.838,121.652352,2.707056
114.322,173.488,30.812,121.652352,2.707056
114.322,173.488,30.812,120.996096,2.0508
114.835,174.462,30.783,120.996096,2.0508
114.835,174.462,30.783,124.894544,5.949248
115.453,175.261,30.756,124.894544,5.949248
115.453,175.261,30.756,121.28904,2.343744
116.262,176.002,30.727,121.28904,2.343744
116.262,176.002,30.727,126.26952,7.324224
117.145,176.511,30.701,126.26952,7.324224
117.145,176.511,30.701,121.582032,2.636736
118.19,176.845,30.672,121.582032,2.636736
118.19,176.845,30.672,121.773424,2.828128
119.19,176.985,30.645,121.773424,2.828128
119.19,176.985,30.645,127.148448,8.203152
120.29,176.946,30.616,127.148448,8.203152
120.29,176.946,30.616,125.976576,7.03128
121.268,176.66,30.589,125.976576,7.03128
121.268,176.66,30.589,122.167968,3.222672
122.257,176.185,30.56,122.167968,3.222672
122.257,176.185,30.56,129.1992,10.253904
123.049,175.555,30.534,129.1992,10.253904
123.049,175.555,30.534,125.39064,6.445344
123.788,174.746,30.505,125.39064,6.445344
123.788,174.746,30.505,126.26952,7.324224
124.311,173.871,30.478,126.26952,7.324224
124.311,173.871,30.478,129.1992,10.253904
124.644,172.824,30.449,129.1992,10.253904
124.644,172.824,30.449,129.785136,10.83984
124.781,171.824,30.423,129.785136,10.83984
124.781,171.824,30.423,130.078128,11.132832
124.741,170.725,30.394,130.078128,11.132832
124.741,170.725,30.394,136.23048,17.285184
124.469,169.743,30.367,136.23048,17.285184
124.469,169.743,30.367,162.011712,43.066416
123.974,168.765,30.338,162.011712,43.066416
123.974,168.765,30.338,182.812512,63.867216
123.372,167.954,30.311,182.812512,63.867216
123.372,167.954,30.311,193.652352,74.707056
122.57,167.198,30.282,193.652352,74.707056
122.57,167.198,30.282,222.07032,103.125024
121.689,166.686,30.256,222.07032,103.125024
121.689,166.686,30.256,224.414064,105.468768
120.639,166.356,30.227,224.414064,105.468768
120.639,166.356,30.227,227.636736,108.69144
119.638,166.222,30.2,227.636736,108.69144
119.638,166.222,30.2,247.265616,128.32032
118.541,166.264,30.171,247.265616,128.32032
118.541,166.264,30.171,241.406256,122.46096
117.555,166.52,30.145,241.406256,122.46096
117.555,166.52,30.145,242.578128,123.632832
116.577,167.017,30.116,242.578128,123.632832
116.577,167.017,30.116,261.914064,142.968768
115.767,167.621,30.089,261.914064,142.968768
115.767,167.621,30.089,256.347648,137.402352
115.012,168.421,30.061,256.347648,137.402352
115.012,168.421,30.061,262.207008,143.261712
114.515,169.311,30.034,262.207008,143.261712
114.515,169.311,30.034,269.238288,150.292992
114.166,170.349,30.005,269.238288,150.292992
114.166,170.349,30.005,264.5508,145.605504
114,171.348,29.978,264.5508,145.605504
114,171.348,29.978,269.824224,150.878928
114.067,172.444,29.949,269.824224,150.878928
114.067,172.444,29.949,275.976576,157.03128
114.309,173.433,29.922,275.976576,157.03128
114.309,173.433,29.922,283.007808,164.062512
114.808,174.413,29.893,283.007808,164.062512
114.808,174.413,29.893,279.1992,160.253904
115.413,175.22,29.867,279.1992,160.253904
115.413,175.22,29.867,287.988288,169.042992
116.214,175.974,29.838,287.988288,169.042992
116.214,175.974,29.838,290.917968,171.972672
117.096,176.483,29.811,290.917968,171.972672
117.096,176.483,29.811,280.664064,161.718768
118.135,176.831,29.783,280.664064,161.718768
118.135,176.831,29.783,288.867168,169.921872
119.134,176.985,29.756,288.867168,169.921872
119.134,176.985,29.756,291.21096,172.265664
120.236,176.958,29.727,291.21096,172.265664
120.236,176.958,29.727,286.523424,167.578128
121.214,176.676,29.7,286.523424,167.578128
121.214,176.676,29.7,302.0508,183.105504
122.208,176.213,29.671,302.0508,183.105504
122.208,176.213,29.671,292.382832,173.437536
123.008,175.594,29.645,292.382832,173.437536
123.008,175.594,29.645,285.937488,166.992192
123.759,174.794,29.615,285.937488,166.992192
123.759,174.794,29.615,290.332032,171.386736
124.282,173.919,29.589,290.332032,171.386736
124.282,173.919,29.589,287.988288,169.042992
124.629,172.878,29.56,287.988288,169.042992
124.629,172.878,29.56,290.917968,171.972672
124.781,171.88,29.533,290.917968,171.972672
124.781,171.88,29.533,292.382832,173.437536
124.756,170.78,29.505,292.382832,173.437536
124.756,170.78,29.505,287.695296,168.75
